time,key,event
1666211296.2674708,Key.shift,p
1666211296.3649652,Key.shift,r
1666211299.241418,Key.ctrl,p
1666211299.3766983,'a',p
1666211299.4455833,Key.ctrl,r
1666211299.4961677,'a',r
1666211299.557219,Key.backspace,p
1666211299.6653059,Key.backspace,r
1666211302.990883,'y',p
1666211303.075711,'y',r
1666211304.5636232,'a',p
1666211304.6746652,'a',r
1666211305.2291732,'j',p
1666211305.3325286,'j',r
1666211306.0964298,'a',p
1666211306.2177129,'a',r
1666211306.8017516,'t',p
1666211306.9286094,'t',r
1666211308.9854603,Key.space,p
1666211309.1087396,Key.space,r
1666211309.542534,'t',p
1666211309.6611047,'t',r
1666211310.6307812,'h',p
1666211310.750526,'h',r
1666211311.4495788,'e',p
1666211311.5566895,'e',r
1666211312.2601306,Key.space,p
1666211312.3780863,Key.space,r
1666211312.8175354,'q',p
1666211312.9214125,'q',r
1666211313.3401384,'u',p
1666211313.4684603,'u',r
1666211314.2409022,'i',p
1666211314.3544307,'i',r
1666211314.9225016,'c',p
1666211315.028542,'c',r
1666211315.6114054,'k',p
1666211315.7754028,'k',r
1666211316.608055,Key.space,p
1666211316.709388,Key.space,r
1666211317.145184,'d',p
1666211317.2892585,'d',r
1666211318.0137217,'r',p
1666211318.0891051,'r',r
1666211318.4977753,'o',p
1666211318.6297827,'o',r
1666211319.0072808,'w',p
1666211319.1212432,'w',r
1666211319.4862292,'n',p
1666211319.6334598,'n',r
1666211320.9412618,Key.backspace,p
1666211321.0113037,Key.backspace,r
1666211321.1161702,Key.backspace,p
1666211321.1910372,Key.backspace,r
1666211321.29161,Key.backspace,p
1666211321.3800569,Key.backspace,r
1666211321.478392,Key.backspace,p
1666211321.5724263,Key.backspace,r
1666211321.7184603,Key.backspace,p
1666211321.8369744,Key.backspace,r
1666211322.335021,'b',p
1666211322.4558647,'b',r
1666211323.0208914,'r',p
1666211323.125814,'r',r
1666211323.408394,'o',p
1666211323.5484593,'o',r
1666211323.872204,'w',p
1666211324.0013642,'w',r
1666211324.258837,'n',p
1666211324.4150512,'n',r
1666211325.065818,Key.space,p
1666211325.2405705,Key.space,r
1666211325.688319,'f',p
1666211325.779648,'f',r
1666211326.1606548,'o',p
1666211326.2727113,'o',r
1666211327.135872,'x',p
1666211327.2884996,'x',r
1666211327.7939804,Key.space,p
1666211327.9003842,Key.space,r
1666211328.164035,'j',p
1666211328.3108575,'j',r
1666211328.60874,'u',p
1666211328.701983,'u',r
1666211329.040218,'m',p
1666211329.161688,'m',r
1666211329.4214077,'p',p
1666211329.578802,'p',r
1666211330.1120806,'s',p
1666211330.255269,'s',r
1666211330.7569993,Key.space,p
1666211330.886223,Key.space,r
1666211331.1761699,'o',p
1666211331.2897482,'o',r
1666211331.6025941,'v',p
1666211331.7309928,'v',r
1666211331.8329456,'e',p
1666211331.9734151,'e',r
1666211333.0164561,'r',p
1666211333.071699,'r',r
1666211333.5455189,Key.space,p
1666211333.6729379,Key.space,r
1666211334.2047555,'t',p
1666211334.2989364,'t',r
1666211334.5603333,'h',p
1666211334.7336962,'h',r
1666211334.8790095,'e',p
1666211335.042476,'e',r
1666211335.4361887,Key.space,p
1666211335.5601916,Key.space,r
1666211335.8805048,'l',p
1666211336.0133927,'l',r
1666211336.1839216,'a',p
1666211336.3346825,'a',r
1666211336.6287963,'z',p
1666211336.772085,'z',r
1666211337.0437803,'y',p
1666211337.2002168,'y',r
1666211337.6807263,Key.space,p
1666211337.8482494,Key.space,r
1666211338.5769598,'d',p
1666211338.7243667,'d',r
1666211338.9972317,'o',p
1666211339.184777,'o',r
1666211339.4071183,'g',p
1666211339.5531356,'g',r
1666211346.3793523,Key.alt,p
1666211346.4885952,Key.tab,p
1666211346.5454612,Key.alt,r
1666211346.6218224,Key.tab,r
1666211346.958791,Key.alt,p
1666211347.1276982,Key.tab,p
1666211347.1958845,Key.alt,r
1666211347.2499936,Key.tab,r
1666211347.6529846,Key.alt,p
1666211347.8011062,Key.tab,p
1666211347.8537292,Key.alt,r
1666211347.9342632,Key.tab,r
1666211348.1076894,Key.alt,p
1666211348.190076,Key.tab,p
1666211348.2561505,Key.alt,r
1666211348.3274918,Key.tab,r
